"id","title","theme","capital","multicapital","location","expected_amount","collected_amount","engaged_number","platform","platform_type","status","any_date","year","start_date","end_date"
"https://na-starte.com/project/korotkometrazhnyi-film-v-subbotu/","Короткометражный фильм «В субботу»","Відео","Культурний","False","Київ",9600,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2015",2015,"","2015-01-01"
"http://bu.mvk.if.ua/projects2016/251","Благоустрій прибудинкової території","","Інфраструктурний","False","Івано-Франківськ",10000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","14.05.2016",2016,"2016-05-14",""
"https://portal.city.kharkov.ua/initiatives/1566","Green House - Solar City (Зелений Дім - Сонячне Місто)","Підвищення енергоефективності об’єктів комунальної власності","Інфраструктурний","False","Харків",10000,0,0,"Харківська міська рада (portal.city.kharkov.ua)","Громадський бюджет","Неуспішний","10.12.2019",2019,"2019-09-01","2019-12-10"
"https://mg.od.ua/projects/i_love_odessa_biennale_2017","#iLoveOdessaBiennale2017","","Культурний","False","Одеса",10000,0,0,"Мой город","Краудфандинг","Неуспішний","07.05.2017",2017,"","2017-05-07"
"https://na-starte.com/project/kiev-kontsert-rok-gruppy-fantastish-global-systems156156156156156/","Концерт рок-группы Fantastish Global Systems","Музика","Культурний","False","Київ",10000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://na-starte.com/project/igra-kiddy-vs-universum/","Игра Kiddy vs Universum","Ігри","Культурний","False","Івано-Франківськ",10000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://adm.dniprorada.gov.ua/projects/106","Привітне обличчя Театру ляльок","Благоустрій та інфраструктура","Інфраструктурний","False","Дніпро (Дніпропетровськ)",120000,0,0,"adm.dniprorada.gov.ua/ (gb)","Громадський бюджет","Неуспішний","",NA,"",""
"https://gb.kyivcity.gov.ua/projects/archive/2/show/5","Встановити світлофор для школярів","Дороги, транспорт","Інфраструктурний","","Київ",10000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2017",2017,"","2017-01-01"
"https://gb.kyivcity.gov.ua/projects/archive/1/show/585","тест","IT (інформаційні технології)","Інфраструктурний","","Київ",10000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://ubb.org.ua/uk/project/636/","Школа молодої еліти","ОСВІТА","Людський","False","Тернопіль",11910,11910,0,"UBB","Краудфандинг","Успішний","23.04.2013",2013,"2013-04-23",""
